,CMTE_ID,CMTE_PTY_AFFILIATION
1195,C00342360,REP
1196,C00342436,REP
1197,C00342444,REP
1198,C00342642,DEM
1199,C00342691,DEM
1200,C00342709,REP
1201,C00342725,REP
1202,C00342741,REP
1203,C00342774,REP
1204,C00342857,REP
1205,C00343012,REP
1206,C00343053,REP
1207,C00343061,DEM
1208,C00343079,REP
1209,C00343087,REP
1210,C00343178,REP
1211,C00343202,REP
1212,C00343210,REP
1213,C00343228,REP
1214,C00343301,DEM
1215,C00343319,REP
1216,C00343327,REP
1217,C00343376,REP
1218,C00343418,DEM
1219,C00343442,DEM
1220,C00343467,DEM
1221,C00343475,REP
1222,C00343509,REP
1223,C00343517,DEM
1224,C00343525,DEM
1225,C00343533,REP
1226,C00343541,DEM
1227,C00343558,REP
1228,C00343608,REP
1229,C00343616,DEM
1230,C00343640,REP
1231,C00343723,DEM
1232,C00343764,REP
1233,C00343772,REP
1234,C00343798,DEM
1235,C00343822,DEM
1236,C00343863,REP
1237,C00343871,DEM
1238,C00343889,REP
1239,C00343897,DEM
1240,C00343905,DEM
1241,C00343921,REP
1242,C00344036,REP
1243,C00344093,DEM
1244,C00344101,DEM
1245,C00344135,DEM
1246,C00344150,REP
1247,C00344267,DEM
1248,C00344275,DEM
1249,C00344317,REP
1250,C00344358,DEM
1251,C00344382,DEM
1252,C00344390,DEM
1253,C00344408,DEM
1254,C00344424,REP
1255,C00344432,DEM
1256,C00344473,DEM
1257,C00344481,REP
1258,C00344515,DEM
1259,C00344523,REP
1260,C00344556,DEM
1261,C00344564,DEM
1262,C00344572,REP
1263,C00344606,DEM
1264,C00344622,DEM
1265,C00344630,REP
1266,C00344655,REP
1267,C00344671,DEM
1268,C00344697,DEM
1269,C00344705,REP
1270,C00344713,REP
1271,C00344721,DEM
1272,C00344762,REP
1273,C00344804,DEM
1274,C00344853,REP
1275,C00344861,REP
1276,C00344911,DEM
1277,C00344937,REP
1278,C00345165,DEM
1279,C00345249,DEM
1280,C00345280,DEM
1281,C00345322,REP
1282,C00345330,DEM
1283,C00345348,DEM
1284,C00345363,DEM
1285,C00345389,REP
1286,C00345405,DEM
1287,C00345454,DEM
1288,C00345462,DEM
1289,C00345470,REP
1290,C00345686,DEM
1291,C00345710,DEM
1292,C00345736,DEM
